"ID","ACTION_PLAN_PRODUCT_NAME__C","PRODUCT_NAME__C"
"a3N200000000197EAA","DSPBR T.I.G.E.R. Reg-G","DSP BlackRock T.I.G.E.R. Reg"
"a3N200000000198EAA","HDFC Long Term Equity Fund-G","HDFC Long Term Advantage Fund"
"a3N200000000199EAA","HDFC Prudence Fund - G","HDFC Prudence Fund"
"a3N20000000019AEAQ","Tata Pure Equity Fund-G","Tata Pure Equity"
"a3N20000000019BEAQ","FMP","NA"
"a3N20000000019CEAQ","IDFC Money Manager Treasury Advantage Plan A","IDFC Money Manager Fund - Treasury Plan A"
"a3N20000000019DEAQ","BSL Mid Cap Fund (G) Folio:1015176794","Birla Sun Life MidCap Fund"
"a3N20000000019EEAQ","IDFC Premier Equity Fund (G) [Folio:1249828/51]","IDFC Premier Equity Fund - Plan A"
"a3N20000000019FEAQ","SBI Bluechip Fund","TestTest"
"a3N20000000019GEAQ","Templeton India ST Income (G) Folio:1049904237547","Templeton India Short-term Income Ret"
"a3N20000000019HEAQ","Templeton India ST Income Fund","Templeton India Short-term Income Ret"
"a3N20000000019IEAQ","Axis Triple Advantage Fund (G) Folio:9048051712","Axis Triple Advanatage Fund"
"a3N20000000019JEAQ","DSP Equity Fund Reg (G) [Folio:2586395/39]","DSP BlackRock Equity Fund"
"a3N20000000019KEAQ","BSL Mid Cap Fund (G) [Folio:1015179833]","Birla Sun Life MidCap Fund"
"a3N20000000019LEAQ","BSL Mid Cap Fund (G) [Folio:1015176794]","Birla Sun Life MidCap Fund"
"a3N20000000019MEAQ","SBI - Blue Chip Fund (D) [Folio:6299983]","TestTest"
"a3N20000000019NEAQ","HDFC - Top 200 Fund - (G) [Folio:7640557/11]","HDFC Top 200 Fund"
"a3N20000000019OEAQ","HDFC - Top 200 Fund - (G) [Folio:6077190/65]","HDFC Top 200 Fund"
"a3N20000000019PEAQ","HDFC - Top 200 Fund - (G) [Folio:6036453/56]","HDFC Top 200 Fund"
"a3N20000000019QEAQ","BSL Dividend Yield Plus (G) [Folio:1015592212]","Birla Sun Life Dividend Yield Plus"
"a3N20000000019REAQ","Birla SL - FTP Sr GG Reg (G) Folio:1015179833","TestTest"
"a3N20000000019SEAQ","HDFC - Top 200 Fund - (G) [Folio:3116216/18]","HDFC Top 200 Fund"
"a3N20000000017kEAA","HDFC FMP-366D-March12(1)XXI(G)","HDFC FMP"
"a3N20000000017lEAA","HDFC Cash Mgmt-Tre Adv (DW)","HDFC Cash Management Treasury Advantage Fund"
"a3N20000000017mEAA","Franklin India Income Opportunities Fund","Templeton India Income Opportunities"
"a3N20000000017nEAA","DSP BR Income Opportunities Fund","DSP BlackRock Income Opportunities Fund"
"a3N20000000017oEAA","Reliance Dynamic Bond Fund","Reliance Dynamic Bond Fund"
"a3N20000000017pEAA","DSP BR Micro-Cap Fund","DSP BlackRock Micro Cap Fund"
"a3N20000000017qEAA","L & T Equity Fund (D)","L & T Equity"
"a3N20000000017rEAA","HDFC Index Fund-SensexPlus(PA)","HDFC Index Fund - Sensex Plus Plan"
"a3N20000000017sEAA","Tata Dividend Yield Fund (D)","TestTest"
"a3N20000000017tEAA","Rel Equity Opportunities Funf","Reliance Equity Opportunities Fund - Retail Plan (G)"
"a3N20000000017uEAA","Birla Frontline Equity - A (G)","Birla Sun Life Frontline Equity Fund"
"a3N20000000017vEAA","Franklin India Prima D","Franklin India Prima Fund"
"a3N20000000017wEAA","L & T India Sp. Situation (D)","L & T India Special Situations Fund"
"a3N20000000017xEAA","BSL Dividend Yield Plus - D","Birla Sun Life Dividend Yield Plus"
"a3N20000000017yEAA","BSL Dividend Yield Plus - (G)","Birla Sun Life Dividend Yield Plus"
"a3N20000000017zEAA","IDFC Premier Equity Fund D","IDFC Premier Equity Fund - Plan A"
"a3N200000000180EAA","BSL Dividend Yield Fund","Birla Sun Life Dividend Yield Plus"
"a3N200000000181EAA","Pramerica Ultra ST Bond (DW)","Pramerica Ultra Short Term Bond Fund"
"a3N200000000182EAA","BSL Cash Manager Fund (DW)","Birla Sun Life Cash Manager"
"a3N200000000183EAA","Bajaj Allianz Health Gua","Bajaj Allianz Health Guard"
"a3N20000000017jEAA","Reliance Money Mngr - (DW)","Reliance Money Manager Fund - Retail Plan"
"a3N200000000184EAA","Hdfc top 200 growth","HDFC Top 200 Fund"
"a3N200000000185EAA","ICICI Prudential Discovery Fund","ICICI Discovery"
"a3N200000000186EAA","IDFC MM Treasury A Fund","IDFC Money Manager Fund - Treasury Plan A"
"a3N200000000187EAA","Idfc premier equity fund plan","IDFC Premier Equity Fund - Plan A"
"a3N200000000188EAA","Reliance gold saving fund","Reliance Gold Savings Fund"
"a3N200000000189EAA","Hdfc long term equity fund","HDFC Long Term Advantage Fund"
"a3N20000000018AEAQ","Dsp blackrock opp fund","DSP BlackRock Opportunities Fund"
"a3N20000000018BEAQ","Icici pru dynamic plan","ICICI Dynamic Plan"
"a3N20000000018CEAQ","Bnp paribas equity fund","BNP Paribas Equity"
"a3N20000000018DEAQ","Dsp blackrock opportunities fund","DSP BlackRock Opportunities Fund"
"a3N20000000018EEAQ","HDFC LT Advantage Fund","HDFC Long Term Advantage Fund"
"a3N20000000018FEAQ","MBA Fees - Savings A/c","Savings Account"
"a3N20000000018GEAQ","Citizen Credit - 28-9-2013","NA"
"a3N20000000018HEAQ","Pramerica Short Term Equity","Pramerica Equity Fund"
"a3N20000000018IEAQ","HDFC LT Advantage","HDFC Long Term Advantage Fund"
"a3N20000000018JEAQ","ICICI Pru Child Care Gift","NA"
"a3N20000000018KEAQ","Franklin India Tax Shield","Franklin India Tax Shield"
"a3N20000000018LEAQ","IDFC Tax Advantage","IDFC Tax Advantage"
"a3N20000000018MEAQ","Sundaram Select Mid Cap Fund","Sundaram Select Mid Cap"
"a3N20000000019UEAQ","Kotak 50 Equity Scheme Gr 1987616/33","Kotak 50"
"a3N20000000019VEAQ","Kotak 50 Equity Scheme","Kotak 50"
"a3N20000000019WEAQ","Pramerica Short Term Income/ BSL Dynamic","Pramerica Short Term Income Fund"
