"Id","Entity__c","Entity_Name__c","Type__c","Executed_Product_Name__c"
"a0l200000061PN5AAM","","0012000000yF5ZOAA0","General Insurance","Bajaj Allianz Health Guard"
"a0l200000061PN6AAM","","0012000000yF5ZOAA0","General Insurance","Bajaj Allianz Health Guard"
"a0l200000061PN7AAM","","0012000000yF5ZOAA0","General Insurance","Bajaj Allianz Extra Care"
"a0l200000061PN8AAM","","0012000000yF5ZOAA0","General Insurance","Bajaj Allianz Health Guard"
"a0l200000061PMiAAM","","0012000000yF5ZOAA0","SIP","IDFC MM Treasury A"
"a0l200000061PMjAAM","","0012000000yF5ZOAA0","Lumpsum","IDFC Dynamic Bond"
"a0l200000061PMkAAM","","0012000000yF5ZOAA0","Lumpsum","Gold ETF"
"a0l200000061PMlAAM","","0012000000yF5ZOAA0","Lumpsum","BSL Frontline Equity"
"a0l200000061PMmAAM","","0012000000yF5ZOAA0","Lumpsum","DSP Equity"
"a0l200000061PMnAAM","","0012000000yF5ZOAA0","Lumpsum","IDFC Sterling Equity"
"a0l200000061PMoAAM","","0012000000yF5ZOAA0","Lumpsum","IDFC MM Treasury A"
"a0l200000061PMpAAM","","0012000000yF5ZOAA0","Lumpsum","Gold ETF"
"a0l200000061PMqAAM","","0012000000yF5ZOAA0","Lumpsum","BSL Savings"
"a0l200000061PMrAAM","","0012000000yF5ZOAA0","Lumpsum","IDFC MM Treasury A"
"a0l200000061JwMAAU","","00120000010PEEDAA4","Lumpsum","IDFC Money Manager"
"a0l200000061JwNAAU","","00120000010PEEDAA4","Lumpsum","BSL Savings"
"a0l200000061JwOAAU","","00120000010PEEDAA4","Lumpsum","ICICI Dynamic"
"a0l200000061JwPAAU","","00120000010PEEDAA4","Lumpsum","Pramerica Equity"
"a0l200000061JwQAAU","","00120000010PEEDAA4","Lumpsum","Axis Triple Advantage"
"a0l200000061JwRAAU","","00120000010PEEDAA4","Lumpsum","Birla SL Dynamic Bond Fund"
"a0l200000061JwSAAU","","00120000010PEEDAA4","Lumpsum","Pramerica Short Term Income"
"a0l200000061JwTAAU","","00120000010PEEDAA4","Lumpsum","HDFC Tax Saver (Dividend)"
"a0l200000061JwUAAU","","00120000010PEEDAA4","SIP","Pramerica Short Term Income"
"a0l200000061JwVAAU","","00120000010PEEDAA4","SIP","Axis Triple Advantage"
"a0l200000061JwWAAU","","00120000010PEEDAA4","SIP","Pramerica Equity"
"a0l200000061JwXAAU","","00120000010PEEDAA4","SIP","IDFC Premier Equity"
"a0l200000061JwYAAU","","00120000010PEEDAA4","SIP","ICICI Dynamic"
"a0l200000061JwZAAU","","00120000010PEEDAA4","SIP","Birla SL Frontline Equity"
"a0l200000061JwaAAE","","00120000010PEEDAA4","SIP","Pramerica Short Term Income"
"a0l200000061JwbAAE","","00120000010PEEDAA4","SIP","Axis Triple Advantage"
"a0l200000061JwcAAE","","00120000010PEEDAA4","SIP","Pramerica Equity"
"a0l200000061JwdAAE","","00120000010PEEDAA4","SIP","IDFC Premier Equity"
"a0l200000061JweAAE","","00120000010PEEDAA4","SIP","ICICI Dynamic"
"a0l200000061JwfAAE","","00120000010PEEDAA4","SIP","Birla SL Frontline Equity"
"a0l200000061JwgAAE","","00120000010PEEDAA4","SIP","Pramerica Short Term Income"
"a0l200000061JwhAAE","","00120000010PEEDAA4","SIP","Axis Triple Advantage"
"a0l200000061JwiAAE","","00120000010PEEDAA4","SIP","Pramerica Equity"
"a0l200000061JwjAAE","","00120000010PEEDAA4","SIP","IDFC Premier Equity"
"a0l200000061JwkAAE","","00120000010PEEDAA4","SIP","ICICI Dynamic"
"a0l200000061JwlAAE","","00120000010PEEDAA4","SIP","Birla SL Frontline Equity"
"a0l200000061JwmAAE","","00120000010PEEDAA4","SIP","Pramerica Short Term Income"
"a0l200000061JwnAAE","","00120000010PEEDAA4","SIP","Axis Triple Advantage"
"a0l200000061JwoAAE","","00120000010PEEDAA4","SIP","IDFC Premier Equity"
"a0l200000061JwpAAE","","00120000010PEEDAA4","SIP","Pramerica Equity"
"a0l200000061JwqAAE","","00120000010PEEDAA4","SIP","ICICI Dynamic"
"a0l200000061JwrAAE","","00120000010PEEDAA4","SIP","Birla SL Frontline Equity"
"a0l200000061JwsAAE","","00120000010PEEDAA4","SIP","ICICI Dynamic"
"a0l200000061JwtAAE","","00120000010PEEDAA4","SIP","Pramerica Equity"
"a0l200000061JwuAAE","","00120000010PEEDAA4","SIP","Birla SL Frontline Equity"
"a0l200000061JwvAAE","","00120000010PEEDAA4","SIP","Axis Triple Advantage"
"a0l200000061JwwAAE","","00120000010PEEDAA4","SIP","BSL Dynamic Bond Fund"
"a0l200000061JwxAAE","","00120000010PEEDAA4","SIP","Pramerica Short Term Income"
"a0lw0000008sev1AAA","","00120000011D6AjAAK","Lumpsum","Birla Sun Life Savings Fund"
"a0lw0000008sev2AAA","","00120000011D6AjAAK","Lumpsum","Reliance Equity Opportunities Fund"
"a0lw0000008sev3AAA","","00120000011D6AjAAK","Lumpsum","Pramerica Equity Fund"
"a0lw0000008sev4AAA","","00120000011D6AjAAK","Lumpsum","Birla Sun Life Frontline Equity Fund"
"a0lw0000008sev5AAA","","00120000011D6AjAAK","Lumpsum","Axis Triple Advanatage Fund"
"a0lw0000008sev6AAA","","00120000011D6AjAAK","Lumpsum","Birla Sun Life Dynamic Bond Fund"
"a0lw0000008sev7AAA","","00120000011D6AjAAK","Lumpsum","Reliance Equity Opportunities Fund"
"a0lw0000008sev8AAA","","00120000011D6AjAAK","Lumpsum","Axis Equity Fund"
"a0lw0000008sev9AAA","","00120000011D6AjAAK","Lumpsum","Birla Sun Life Frontline Equity Fund"
"a0lw0000008sevAAAQ","","00120000011D6AjAAK","Lumpsum","Axis Triple Advanatage Fund"
"a0lw0000008sevBAAQ","","00120000011D6AjAAK","Lumpsum","Birla Sun Life Dynamic Bond Fund"
"a0lw0000008sevCAAQ","","00120000011D6AjAAK","Lumpsum","Reliance Equity Opportunities Fund"
"a0lw0000008sevDAAQ","","00120000011D6AjAAK","Lumpsum","Pramerica Equity Fund"
"a0lw0000008sevEAAQ","","00120000011D6AjAAK","Lumpsum","Birla Sun Life Frontline Equity Fund"
"a0lw0000008sevFAAQ","","00120000011D6AjAAK","Lumpsum","Axis Triple Advanatage Fund"
"a0lw0000008sevGAAQ","","00120000011D6AjAAK","Lumpsum","Birla Sun Life Dynamic Bond Fund"
"a0lw0000008sevHAAQ","","00120000011D6AjAAK","SIP","Reliance Equity Opportunities Fund"
"a0lw0000008sevIAAQ","","00120000011D6AjAAK","SIP","Pramerica Equity Fund"
"a0lw0000008sevJAAQ","","00120000011D6AjAAK","SIP","Birla Sun Life Frontline Equity Fund"
"a0lw0000008sevKAAQ","","00120000011D6AjAAK","SIP","Axis Triple Advanatage Fund"
"a0lw0000008sevLAAQ","","00120000011D6AjAAK","SIP","Birla Sun Life Dynamic Bond Fund"
"a0lw0000008sevMAAQ","","00120000011D6AjAAK","SIP","Reliance Equity Opportunities Fund"
"a0lw0000008sevNAAQ","","00120000011D6AjAAK","SIP","Pramerica Equity Fund"
"a0lw0000008sevOAAQ","","00120000011D6AjAAK","SIP","Birla Sun Life Frontline Equity Fund"
"a0lw0000008sevPAAQ","","00120000011D6AjAAK","SIP","Axis Triple Advanatage Fund"
"a0lw0000008sevQAAQ","","00120000011D6AjAAK","SIP","Birla Sun Life Dynamic Bond Fund"
"a0lw0000008sevRAAQ","","00120000011D6AjAAK","SIP","Reliance Equity Opportunities Fund"
"a0lw0000008sevSAAQ","","00120000011D6AjAAK","SIP","Pramerica Equity Fund"
"a0lw0000008sevTAAQ","","00120000011D6AjAAK","SIP","Birla Sun Life Frontline Equity Fund"
"a0lw0000008sevUAAQ","","00120000011D6AjAAK","SIP","Axis Triple Advanatage Fund"
"a0lw0000008sevVAAQ","","00120000011D6AjAAK","SIP","Birla Sun Life Dynamic Bond Fund"
"a0lw0000008sevWAAQ","","00120000011D6AjAAK","SIP","Reliance Equity Opportunities Fund"
"a0lw0000008sevXAAQ","","00120000011D6AjAAK","SIP","Pramerica Equity Fund"
"a0lw0000008sevYAAQ","","00120000011D6AjAAK","SIP","Birla Sun Life Frontline Equity Fund"
"a0lw0000008sevZAAQ","","00120000011D6AjAAK","SIP","Axis Triple Advantage Fund"
