"ID","ENTITY_NAME__C","EXECUTED_PRODUCT_NAME__C","APPROVE_ACTION_PLAN__C","EXECUTION_TRACKER_PRODUCT__C"
"a0l200000061BRnAAM","0012000000qAhk3AAC","ICICI Pru Focussed Blue Chip Fund","a31200000000nOWAAY",""
"a0l200000061BRoAAM","0012000000qAhk3AAC","ICICI Pru Flexi Income","a31200000000nOVAAY",""
"a0l200000061BRpAAM","0012000000qAhk3AAC","HDFC Tax Saver (D)","a31200000000nOTAAY",""
"a0l200000061BRrAAM","0012000000qAhk3AAC","BSL Dynamic Bond Fund","a31200000000nOQAAY",""
"a0l200000061BRsAAM","0012000000qAhk3AAC","BSL Dynamic Bond Fund","a31200000000nOQAAY",""
"a0l200000061BS4AAM","0012000000qAhk3AAC","IDFC Money Manager","a31200000000nOGAAY",""
"a0l200000061BRtAAM","0012000000qAhk3AAC","DSP Money Manager","a31200000000nOPAAY",""
"a0l200000061BRuAAM","0012000000qAhk3AAC","IDFC Premier Equity","a31200000000nOOAAY",""
"a0l200000061BRwAAM","0012000000qAhk3AAC","DSP Equity","a31200000000nONAAY",""
"a0l200000061BRxAAM","0012000000qAhk3AAC","DSP Equity","a31200000000nONAAY",""
"a0l200000061BRyAAM","0012000000qAhk3AAC","Reliance Money Manager","a31200000000nOLAAY",""
"a0l200000061BRzAAM","0012000000qAhk3AAC","Reliance Gold Savings Fund","a31200000000nOKAAY",""
"a0l200000061BS0AAM","0012000000qAhk3AAC","Reliance Gold Savings Fund","a31200000000nOKAAY",""
"a0l200000061BS1AAM","0012000000qAhk3AAC","HDFC Tax Saver (G)","a31200000000nOJAAY",""
"a0l200000061BS2AAM","0012000000qAhk3AAC","HDFC Tax Saver (D)","a31200000000nOIAAY",""
"a0l200000061BS3AAM","0012000000qAhk3AAC","BSL Savings","a31200000000nOHAAY",""
"a0l200000061BSbAAM","0012000000qAhk3AAC","AXIS Triple Advantage","a31200000000nNiAAI",""
"a0l200000061BShAAM","0012000000qAhk3AAC","AXIS Triple Advantage","a31200000000nNcAAI",""
"a0l200000061BSnAAM","0012000000qAhk3AAC","AXIS Triple Advantage","a31200000000nNWAAY",""
"a0l200000061BStAAM","0012000000qAhk3AAC","AXIS Triple Advantage","a31200000000nNQAAY",""
"a0l200000061BSvAAM","0012000000qOuGrAAK","BSL Savings","a31200000000nOUAAY",""
"a0l200000061BSwAAM","0012000000qOuGrAAK","BSL Savings","a31200000000nOSAAY",""
"a0l200000061BSxAAM","0012000000qOuGrAAK","BSL Savings","a31200000000nOSAAY",""
"a0l200000061BSyAAM","0012000000qOuGrAAK","IDFC Money Manager","a31200000000nOMAAY",""
"a0l200000061BSzAAM","0012000000qOuGrAAK","IDFC Money Manager","a31200000000nOMAAY",""
"a0l200000061BRgAAM","0012000000qAhk3AAC","Max Bupa","a31200000000nOcAAI",""
"a0lw0000008sen2AAA","00120000012CbhUAAS","Axis Triple Advantage","a31w00000001xClAAI",""
"a0lw0000008sen3AAA","00120000012CbhUAAS","Pramerica Short Term Income","a31w00000001xCkAAI",""
"a0lw0000008sen4AAA","00120000012CbhUAAS","Pramerica Short Term Income","a31w00000001xCjAAI",""
"a0lw0000008sen5AAA","00120000012CbhUAAS","Axis Triple Advantage","a31w00000001xCiAAI",""
"a0lw0000008sen6AAA","00120000012CbhUAAS","Pramerica Short Term Income","a31w00000001xChAAI",""
"a0lw0000008sen7AAA","00120000012CbhUAAS","Axis Triple Advantage","a31w00000001xCgAAI",""
"a0lw0000008sen8AAA","00120000012CbhUAAS","BSL Frontline Equity","a31w00000001xCfAAI",""
"a0lw0000008sen9AAA","00120000012CbhUAAS","Reliance equity opportunities fund","a31w00000001xCeAAI",""
"a0lw0000008senAAAQ","00120000012CbhUAAS","Pramerica Equity","a31w00000001xCdAAI",""
"a0lw0000008senBAAQ","00120000012CbhUAAS","Pramerica Short Term Income","a31w00000001xCcAAI",""
"a0lw0000008senCAAQ","00120000012CbhUAAS","Axis Triple Advantage","a31w00000001xCbAAI",""
"a0lw0000008senDAAQ","00120000012CbhUAAS","BSL Frontline Equity","a31w00000001xCaAAI",""
"a0lw0000008senEAAQ","00120000012CbhUAAS","Pramerica Equity","a31w00000001xCZAAY",""
"a0lw0000008senFAAQ","00120000012CbhUAAS","Reliance equity opportunities fund","a31w00000001xCYAAY",""
"a0lw0000008senGAAQ","00120000012CbhUAAS","BSL Dividend Yield Plus","a31w00000001xCXAAY",""
"a0lw0000008seldAAA","00120000012CbhUAAS","Bajaj Allianz Premium Personal Guard","a31w00000001xE6AAI",""
"a0lw0000008selfAAA","00120000012CbhUAAS","Bajaj Allianz Critical Illness","a31w00000001xE4AAI",""
"a0lw0000008seliAAA","00120000012CbhUAAS","HDFC Life Click 2 Protect.","a31w00000001xE1AAI",""
"a0lw0000008selnAAA","00120000012CbhUAAS","Reliance Growth Fund - G","a31w00000001xDxAAI",""
"a0lw0000008seloAAA","00120000012CbhUAAS","HDFC Equity Fund- G","a31w00000001xDwAAI",""
