"ID","NAME","RECORDTYPEID","PRODUCT_MANUFACTURER__C","IS_ACTIVE__C","PRODUCTTYPE__C","PRODUCT_NAME__C"
"a342000000005RAAAY","PRD-007692","01220000000638OAAQ","a33200000000BbEAAU","true","Mutual Fund","HDFC Liquid Fund"
"a342000000005RBAAY","PRD-007693","01220000000638OAAQ","a33200000000BbEAAU","true","Mutual Fund","HDFC Long Term Advantage Fund"
"a342000000005RCAAY","PRD-007694","01220000000638OAAQ","a33200000000BbEAAU","true","Mutual Fund","HDFC Mid-Cap Opportunities Fund"
"a342000000005RDAAY","PRD-007695","01220000000638OAAQ","a33200000000BbEAAU","true","Mutual Fund","HDFC Monthly Income Plan - Long Term Plan"
"a342000000005REAAY","PRD-007696","01220000000638OAAQ","a33200000000BbEAAU","true","Mutual Fund","HDFC Monthly Income Plan - Short Term Plan"
"a342000000005RFAAY","PRD-007697","01220000000638OAAQ","a33200000000BbEAAU","true","Mutual Fund","HDFC Multiple Yield Fund"
"a342000000005RGAAY","PRD-007698","01220000000638OAAQ","a33200000000BbEAAU","true","Mutual Fund","HDFC Prudence Fund"
"a342000000005RHAAY","PRD-007699","01220000000638OAAQ","a33200000000BbEAAU","true","Mutual Fund","HDFC Tax Saver"
"a342000000005RIAAY","PRD-007700","01220000000638OAAQ","a33200000000BbEAAU","true","Mutual Fund","HDFC Top 200 Fund"
"a342000000005RJAAY","PRD-007701","01220000000638OAAQ","a33200000000BbEAAU","true","Mutual Fund","HDFC Cash Management Treasury Advantage"
"a342000000005RKAAY","PRD-007702","01220000000638OAAQ","a33200000000BbEAAU","true","Mutual Fund","HDFC Equity"
"a342000000005RLAAY","PRD-007703","01220000000638OAAQ","a33200000000BbEAAU","true","Mutual Fund","HDFC Growth"
"a342000000005RMAAY","PRD-007704","01220000000638OAAQ","a33200000000BbEAAU","true","Mutual Fund","HDFC High Interest"
"a342000000005RNAAY","PRD-007705","01220000000638OAAQ","a33200000000BbEAAU","true","Mutual Fund","HDFC Income"
