ID	NAME	IS_ACTIVE__C	PRODUCTTYPE__C	PRODUCT_NAME__C
a342000000005RMAAY	PRD-007704	true	Mutual Fund	HDFC High Interest
a342000000005R8AAI	PRD-007690	true	Mutual Fund	HDFC High Interest Fund - Short Term Plan
a342000000005RNAAY	PRD-007705	true	Mutual Fund	HDFC Income
a342000000005R9AAI	PRD-007691	true	Mutual Fund	HDFC Index Fund - Sensex Plus Plan
a342000000005SPAAY	PRD-007769	true	Life Insurance	HDFC Life Click 2 Protect
a342000000005RAAAY	PRD-007692	true	Mutual Fund	HDFC Liquid Fund
a342000000005RBAAY	PRD-007693	true	Mutual Fund	HDFC Long Term Advantage Fund
a342000000005ROAAY	PRD-007706	true	Mutual Fund	HDFC Medium Term Opportunities
a342000000005RPAAY	PRD-007707	true	Mutual Fund	HDFC Mid-Cap Opportunities
a342000000005RCAAY	PRD-007694	true	Mutual Fund	HDFC Mid-Cap Opportunities Fund
a342000000005RDAAY	PRD-007695	true	Mutual Fund	HDFC Monthly Income Plan - Long Term Plan
a342000000005REAAY	PRD-007696	true	Mutual Fund	HDFC Monthly Income Plan - Short Term Plan
a342000000005RFAAY	PRD-007697	true	Mutual Fund	HDFC Multiple Yield Fund
a342000000005RQAAY	PRD-007708	true	Mutual Fund	HDFC Premier Multi Cap
a34200000000335AAA	PRD-000001	true	Mutual Fund	HDFC Prudence
a342000000005RRAAY	PRD-007709	true	Mutual Fund	HDFC Prudence
a342000000005RGAAY	PRD-007698	true	Mutual Fund	HDFC Prudence Fund
a342000000005RHAAY	PRD-007699	true	Mutual Fund	HDFC Tax Saver
a342000000005RSAAY	PRD-007710	true	Mutual Fund	HDFC Taxsaver
a34200000000337AAA	PRD-000003	true	Life Insurance	HDFC Term Assurance Plan
a342000000005RTAAY	PRD-007711	true	Mutual Fund	HDFC Top 200
a342000000005RIAAY	PRD-007700	true	Mutual Fund	HDFC Top 200 Fund
a342000000005SQAAY	PRD-007770	true	General Insurance	Health Guard
a342000000005TLAAY	PRD-007827	true	Mutual Fund	HSBC Brazil
a342000000005TMAAY	PRD-007828	true	Mutual Fund	HSBC India Opportunities
a342000000005RUAAY	PRD-007712	true	Mutual Fund	ICICI Blue Chip Fund Growth
a342000000005SRAAY	PRD-007771	true	General Insurance	ICICI Critical Care
a342000000005RVAAY	PRD-007713	true	Mutual Fund	ICICI Discovery
a342000000005RWAAY	PRD-007714	true	Mutual Fund	ICICI Dynamic Plan
a342000000005RXAAY	PRD-007715	true	Mutual Fund	ICICI Flexi Income Fund
a342000000005TNAAY	PRD-007829	true	Mutual Fund	ICICI FMP
a342000000005SSAAY	PRD-007772	true	Mutual Fund	ICICI Health Care Plus
a342000000005STAAY	PRD-007773	true	General Insurance	ICICI Lombard Critical Care
a342000000005SUAAY	PRD-007774	true	General Insurance	ICICI Lombard Critical Care Cover
a342000000005SVAAY	PRD-007775	true	General Insurance	ICICI Lombard Health Protect Family Floater
a342000000005SWAAY	PRD-007776	true	General Insurance	ICICI Lombard Health Protect Plus
a342000000005SXAAY	PRD-007777	true	General Insurance	ICICI Lombard Persoanl Accident Cover
a342000000005SYAAY	PRD-007778	true	General Insurance	ICICI Lombard Personal Protect Plan
a342000000005SZAAY	PRD-007779	true	General Insurance	ICICI Lombard Top Up Cover
a342000000005SaAAI	PRD-007780	true	General Insurance	ICICI Personal Protect
a342000000005SbAAI	PRD-007781	true	General Insurance	ICICI Personal Protect Policy
a342000000005ScAAI	PRD-007782	true	General Insurance	ICICI Pru Capital Protection
a3420000000033DAAQ	PRD-000009	true	Life Insurance	ICICI Pru ClaimCare
a342000000005RYAAY	PRD-007716	true	Mutual Fund	ICICI Pru Dynamic Bond
a342000000005RZAAY	PRD-007717	true	Mutual Fund	ICICI Pru Focused Bluechip Eq Retail
a3420000000033CAAQ	PRD-000008	true	Life Insurance	ICICI Pru iCare Term Insurance Plans
a342000000005TPAAY	PRD-007831	true	Mutual Fund	ICICI Prudential Balanced Reg
a342000000005TQAAY	PRD-007832	true	Mutual Fund	ICICI Prudential Capital Protection
a342000000005SdAAI	PRD-007783	true	Mutual Fund	ICICI Prudential Capital Protection Oriented Fund
a342000000005TRAAY	PRD-007833	true	Mutual Fund	ICICI Prudential Income Regular
a342000000005RaAAI	PRD-007718	true	Mutual Fund	ICICI Prudential Long term
a342000000005RbAAI	PRD-007719	true	Mutual Fund	ICICI Prudential Regular Savings
a342000000005RcAAI	PRD-007720	true	Mutual Fund	ICICI Prudential Tax Plan
a342000000005TSAAY	PRD-007834	true	Mutual Fund	ICICI Prudential Top 100 Reg
a342000000005TTAAY	PRD-007835	true	Mutual Fund	ICICI Prudential Ultra Short Term Reg
a342000000005TUAAY	PRD-007836	true	Mutual Fund	IDBI Gold
a342000000005TVAAY	PRD-007837	true	Mutual Fund	IDBI Nifty Index
a342000000005RdAAI	PRD-007721	true	Mutual Fund	IDFC Dynamic Bond Fund
a3420000000033BAAQ	PRD-000007	true	Mutual Fund	IDFC Equity Fund - Plan A
a342000000005TWAAY	PRD-007838	true	Mutual Fund	IDFC FMP
a342000000005RkAAI	PRD-007728	true	Mutual Fund	IDFC Imperial Equity
a342000000005RjAAI	PRD-007727	true	Mutual Fund	IDFC Money Manager
a342000000005ReAAI	PRD-007722	true	Mutual Fund	IDFC Money Manager Fund - Treasury Plan A
a342000000005TXAAY	PRD-007839	true	Mutual Fund	IDFC Monthly Income Plan Regular
a342000000005RiAAI	PRD-007726	true	Mutual Fund	IDFC Premier Equity
a3420000000033AAAQ	PRD-000006	false	Mutual Fund	IDFC Premier Equity Fund
a342000000005RfAAI	PRD-007723	true	Mutual Fund	IDFC Premier Equity Fund - Plan A
a342000000005RlAAI	PRD-007729	true	Mutual Fund	IDFC Premier Equity Plan A
a342000000005TYAAY	PRD-007840	true	Mutual Fund	IDFC SSI Short Term Regular
a342000000005RhAAI	PRD-007725	true	Mutual Fund	IDFC Sterling Equity
a342000000005RgAAI	PRD-007724	true	Mutual Fund	IDFC Sterling Equity Fund
a342000000005RmAAI	PRD-007730	true	Mutual Fund	IDFC Tax Advantage
a342000000005TZAAY	PRD-007841	true	Mutual Fund	JP Morgan ASEAN Equity Off Shore
a342000000005TaAAI	PRD-007842	true	Mutual Fund	Kotak 50
a342000000005SyAAI	PRD-007804	true	Mutual Fund	Kotak Bond
a342000000005TbAAI	PRD-007843	true	Mutual Fund	Kotak FMP
a342000000005TcAAI	PRD-007844	true	Mutual Fund	Kotak Gold
a342000000005TdAAI	PRD-007845	true	Mutual Fund	Kotak Select Focus
a342000000005SzAAI	PRD-007805	true	Mutual Fund	Kotak Sensex ETF
